"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"America";16;28;56;5;9;18;32;82;"LOCATION"
"Europe";32;16;52;8;4;13;25;40;"LOCATION"
"China";45;30;25;9;6;5;20;74;"LOCATION"
"Donald Trump";5;42;53;1;8;10;19;138;"PERSON"
"Britain";29;21;50;4;3;7;14;42;"LOCATION"
"London";42;42;17;5;5;2;12;29;"LOCATION"
"EU";70;0;30;7;0;3;10;27;"LOCATION"
"European Union";50;20;30;5;2;3;10;11;"LOCATION"
"Canada";22;33;44;2;3;4;9;15;"LOCATION"
"Australia";33;11;56;3;1;5;9;19;"LOCATION"
"India";33;22;44;3;2;4;9;22;"LOCATION"
"Middle East";11;22;67;1;2;6;9;10;"LOCATION"
"France";0;44;56;0;4;5;9;15;"LOCATION"
"Italy";56;11;33;5;1;3;9;38;"LOCATION"
"Asia";38;25;38;3;2;3;8;8;"LOCATION"
"Africa";50;0;50;4;0;4;8;14;"LOCATION"
"Paris";25;50;25;2;4;2;8;13;"LOCATION"
"United States";29;29;43;2;2;3;7;7;"LOCATION"
"The Economist";14;43;43;1;3;3;7;10;"ORGANIZATION"
"Senate";50;17;33;3;1;2;6;6;"ORGANIZATION"
"New York";17;33;50;1;2;3;6;7;"LOCATION"
"parliament";33;17;50;2;1;3;6;8;"ORGANIZATION"
"Hungary";0;33;67;0;2;4;6;7;"LOCATION"
"Germany";17;0;83;1;0;5;6;17;"LOCATION"
"Republicans";40;0;60;2;0;3;5;19;"ORGANIZATION"
"Russia";100;0;0;5;0;0;5;11;"LOCATION"
"Singapore";40;60;0;2;3;0;5;6;"LOCATION"
"Japan";40;20;40;2;1;2;5;9;"LOCATION"
"Facebook";20;60;20;1;3;1;5;6;"ORGANIZATION"
"cabinet";40;0;60;2;0;3;5;13;"ORGANIZATION"
"Hong Kong";0;40;60;0;2;3;5;6;"LOCATION"
"PDF";50;25;25;2;1;1;4;4;"ORGANIZATION"
"West";75;25;0;3;1;0;4;8;"LOCATION"
"California";0;25;75;0;1;3;4;12;"LOCATION"
"Congress";50;25;25;2;1;1;4;9;"ORGANIZATION"
"Iran";75;0;25;3;0;1;4;12;"LOCATION"
"Iraq";50;25;25;2;1;1;4;5;"LOCATION"
"Syria";50;25;25;2;1;1;4;4;"LOCATION"
"Xi Jinping";25;50;25;1;2;1;4;7;"PERSON"
"Mexico";0;0;100;0;0;4;4;15;"LOCATION"
"Turkey";25;25;50;1;1;2;4;9;"LOCATION"
"lower house";0;25;75;0;1;3;4;4;"ORGANIZATION"
"Angela Merkel";50;25;25;2;1;1;4;28;"PERSON"
"Gulf";25;50;25;1;2;1;4;9;"LOCATION"
"Saudi Arabia";50;0;50;2;0;2;4;7;"LOCATION"
"Americas";0;0;100;0;0;4;4;4;"LOCATION"
"Beijing";50;25;25;2;1;1;4;7;"LOCATION"
"Google";50;25;25;2;1;1;4;5;"ORGANIZATION"
"Apple";25;50;25;1;2;1;4;7;"ORGANIZATION"
"Berlin";50;50;0;2;2;0;4;5;"LOCATION"
"Washington";0;25;75;0;1;3;4;5;"LOCATION"
"Sydney";25;50;25;1;2;1;4;4;"LOCATION"
"Alibaba";25;25;50;1;1;2;4;6;"ORGANIZATION"
"euro zone";100;0;0;4;0;0;4;8;"ORGANIZATION"
"Mariano Rajoy";0;25;75;0;1;3;4;48;"PERSON"
"Spain";50;25;25;2;1;1;4;32;"LOCATION"
"Pedro Sánchez";50;25;25;2;1;1;4;37;"PERSON"
"People’s Party";100;0;0;4;0;0;4;4;"ORGANIZATION"
"Emmanuel Macron";75;0;25;3;0;1;4;14;"PERSON"
"Twitter";50;50;0;2;2;0;4;6;"ORGANIZATION"
"Labour";25;0;75;1;0;3;4;8;"ORGANIZATION"
"European Commission";0;0;100;0;0;3;3;3;"ORGANIZATION"
"Hillary Clinton";67;33;0;2;1;0;3;9;"PERSON"
"Kim Jong Un";67;33;0;2;1;0;3;9;"PERSON"
"Barack Obama";33;33;33;1;1;1;3;12;"PERSON"
"North Korea";33;0;67;1;0;2;3;5;"LOCATION"
"NAFTA";33;0;67;1;0;2;3;7;"ORGANIZATION"
"South Korea";33;0;67;1;0;2;3;3;"LOCATION"
"Free-Trade Agreement";67;0;33;2;0;1;3;3;"ORGANIZATION"
"South Africa";100;0;0;3;0;0;3;3;"LOCATION"
"Five Star Movement";0;67;33;0;2;1;3;5;"ORGANIZATION"
"Northern League";67;33;0;2;1;0;3;3;"ORGANIZATION"
"eastern Europe";67;0;33;2;0;1;3;3;"LOCATION"
"IMF";67;33;0;2;1;0;3;14;"ORGANIZATION"
"Muhammad bin Salman";33;0;67;1;0;2;3;15;"PERSON"
"Venezuela";67;0;33;2;0;1;3;4;"LOCATION"
"AI";33;67;0;1;2;0;3;46;"ORGANIZATION"
"Toronto";33;67;0;1;2;0;3;3;"LOCATION"
"G7";33;33;33;1;1;1;3;4;"ORGANIZATION"
"Catalonia";33;67;0;1;2;0;3;7;"LOCATION"
"Socialists";33;0;67;1;0;2;3;5;"ORGANIZATION"
"Podemos";33;0;67;1;0;2;3;3;"ORGANIZATION"
"Atlantic";33;67;0;1;2;0;3;4;"LOCATION"
"Earth";0;100;0;0;3;0;3;3;"LOCATION"
"Shanghai";33;0;67;1;0;2;3;3;"LOCATION"
"Brussels";67;33;0;2;1;0;3;4;"LOCATION"
"Norway";67;33;0;2;1;0;3;5;"LOCATION"
"England";0;67;33;0;2;1;3;3;"LOCATION"
"Amazon";33;33;33;1;1;1;3;5;"ORGANIZATION"
"Argentina";67;0;33;2;0;1;3;20;"LOCATION"
"Obama administration";50;0;50;1;0;1;2;3;"LOCATION"
"UN Security Council";50;0;50;1;0;1;2;2;"ORGANIZATION"
"House";0;50;50;0;1;1;2;3;"ORGANIZATION"
"New Jersey";0;50;50;0;1;1;2;2;"LOCATION"
"Soviet Union";50;0;50;1;0;1;2;2;"LOCATION"
"World Trade Organisation";0;50;50;0;1;1;2;11;"ORGANIZATION"
"Wall Street";50;50;0;1;1;0;2;2;"LOCATION"
"Washington, DC";0;50;50;0;1;1;2;2;"LOCATION"
"Wisconsin";50;50;0;1;1;0;2;2;"LOCATION"
"Paul Ryan";0;0;100;0;0;2;2;2;"PERSON"
"House of Representatives";50;0;50;1;0;1;2;2;"ORGANIZATION"
"Kentucky";0;0;100;0;0;2;2;2;"LOCATION"
"Mitch McConnell";50;0;50;1;0;1;2;2;"PERSON"
"Egypt";100;0;0;2;0;0;2;4;"LOCATION"
"Jordan";100;0;0;2;0;0;2;14;"LOCATION"
"Harvard University";50;0;50;1;0;1;2;2;"ORGANIZATION"
"Columbia University";100;0;0;2;0;0;2;2;"ORGANIZATION"
"PH";0;50;50;0;1;1;2;5;"LOCATION"
"Ely Calil";0;0;100;0;0;2;2;34;"PERSON"
"Harper";100;0;0;2;0;0;2;6;"PERSON"
