"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count"
"United States";44;33;23;27;20;14;61;268
"Donald Trump";46;29;26;16;10;9;35;133
"Al Jazeera";33;15;52;20;9;32;61;101
"North Korea";31;44;25;5;7;4;16;82
"Turkey";43;21;36;6;3;5;14;79
"Iran";44;17;39;8;3;7;18;75
"Vladimir Putin";50;30;20;5;3;2;10;73
"Singapore";19;52;29;4;11;6;21;70
"Taliban";63;25;13;5;2;1;8;69
"China";29;29;43;4;4;6;14;67
"Kim Jong-un";32;58;11;6;11;2;19;66
"Al Jazeera News";35;40;25;7;8;5;20;66
"Russia";60;20;20;12;4;4;20;64
"G7";46;23;31;6;3;4;13;61
"Reuters";33;14;52;14;6;22;42;56
"Canada";63;19;19;10;3;3;16;56
"Jordan";25;38;38;2;3;3;8;55
"Mohamed Ould Atigh";0;100;0;0;1;0;1;47
"Yemen";67;0;33;4;0;2;6;45
"Iraq";44;0;56;4;0;5;9;44
"North Korean";29;65;6;5;11;1;17;39
"Afghanistan";36;18;45;4;2;5;11;39
"Omar al-Razzaz";33;0;67;1;0;2;3;37
"Syria";50;0;50;4;0;4;8;35
"Saudi";55;9;36;6;1;4;11;34
"Turkish";56;11;33;5;1;3;9;34
"Prime Minister";29;32;39;9;10;12;31;31
"Pyongyang";45;27;27;5;3;3;11;30
"Saudi Arabia";40;30;30;4;3;3;10;30
"Israel";50;25;25;2;1;1;4;30
"African Union";50;0;50;1;0;1;2;30
"Saturday";29;38;33;6;8;7;21;29
"Guatemala";57;29;14;4;2;1;7;29
"Justin Trudeau";63;25;13;5;2;1;8;29
"Thursday";57;9;35;13;2;8;23;29
"International Criminal Court";40;20;40;2;1;2;5;29
"Ashraf Ghani";50;0;50;2;0;2;4;29
"Jacob Zuma";0;0;100;0;0;1;1;29
"Palestinian";33;0;67;2;0;4;6;29
"Harvey Weinstein";0;0;100;0;0;1;1;28
"Houthis";40;0;60;2;0;3;5;28
"Sunday";57;14;29;8;2;4;14;27
"Shanghai Cooperation Organisation";40;20;40;2;1;2;5;25
"Pakistan";38;0;63;3;0;5;8;25
"Ethiopia";0;50;50;0;1;1;2;24
"AP";50;20;30;5;2;3;10;23
"Syrian";50;13;38;4;1;3;8;23
"Shafiq";100;0;0;1;0;0;1;23
"Afghan";100;0;0;6;0;0;6;22
"prime minister";38;29;33;8;6;7;21;21
"Friday";47;20;33;7;3;5;15;21
"Russian";44;22;33;4;2;3;9;21
"Eritrea";100;0;0;1;0;0;1;21
"Gaza";100;0;0;4;0;0;4;21
"Middle East";27;64;9;3;7;1;11;19
"Chinese";40;40;20;4;4;2;10;19
"Washington";63;25;13;10;4;2;16;19
"Egypt";22;33;44;2;3;4;9;19
"France";31;23;46;4;3;6;13;19
"United Nations";40;20;40;4;2;4;10;19
"Palestinians";13;13;75;1;1;6;8;19
"Caty";100;0;0;1;0;0;1;19
"Farouk Baakar";100;0;0;1;0;0;1;19
"Palestine";20;0;80;1;0;4;5;19
"White House";18;45;36;2;5;4;11;18
"American";46;23;31;6;3;4;13;18
"Frances Sistook Ozenna";0;100;0;0;1;0;1;18
"Iranian";57;14;29;4;1;2;7;18
"Xi Jinping";20;20;60;1;1;3;5;18
"Berlin Werbefrei";100;0;0;1;0;0;1;18
"Khadija Siddiqi";100;0;0;1;0;0;1;18
"South Korea";0;25;75;0;1;3;4;17
"Baghdad";100;0;0;4;0;0;4;17
"Myanmar";67;0;33;2;0;1;3;17
"Canadian";50;40;10;5;4;1;10;16
"April";75;8;17;9;1;2;12;16
"British";25;25;50;1;1;2;4;16
"Abiy Ahmed";0;0;100;0;0;1;1;16
"Idlib province";67;0;33;2;0;1;3;16
"Islam";60;0;40;3;0;2;5;16
"Israeli";40;0;60;2;0;3;5;16
"Kainat Soomro";100;0;0;1;0;0;1;16
"U.S.";100;0;0;2;0;0;2;16
"Europe";33;33;33;4;4;4;12;15
"Jerusalem";20;60;20;1;3;1;5;15
"Trump";0;100;0;0;3;0;3;15
"Zionist";0;50;50;0;1;1;2;15
"African";50;0;50;1;0;1;2;15
"Australia";67;0;33;2;0;1;3;15
"EU";63;0;38;5;0;3;8;15
"India";33;56;11;3;5;1;9;14
"Twitter";15;31;54;2;4;7;13;14
"Germany";30;20;50;3;2;5;10;14
"Muslims";14;29;57;1;2;4;7;14
"Muharrem Ince";0;100;0;0;1;0;1;14
"Abu Nihad";0;0;100;0;0;1;1;14
"Islamic State";50;0;50;2;0;2;4;14
"Jared Kushner";100;0;0;1;0;0;1;14
"Sanaa";75;0;25;3;0;1;4;14
"Sara Raza";0;0;100;0;0;1;1;14
"European";18;36;45;2;4;5;11;13
