"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count"
"Getty Images";32;44;24;8;11;6;25;48
"Reuters";45;27;27;10;6;6;22;48
"BBC";40;25;35;8;5;7;20;44
"MPs";26;47;26;5;9;5;19;19
"Twitter";18;53;29;3;9;5;17;35
"BBC News";29;53;18;5;9;3;17;20
"London";50;43;7;7;6;1;14;25
"UK";54;8;38;7;1;5;13;53
"AFP";38;31;31;5;4;4;13;18
"US";45;27;27;5;3;3;11;56
"Facebook";9;64;27;1;7;3;11;20
"EU";60;20;20;6;2;2;10;45
"Europe";25;38;38;2;3;3;8;17
"PA";38;38;25;3;3;2;8;13
"Northern Ireland";86;14;0;6;1;0;7;34
"British";29;29;43;2;2;3;7;18
"China";29;57;14;2;4;1;7;16
"Westminster";43;29;29;3;2;2;7;12
"Washington";0;71;29;0;5;2;7;8
"Queen";14;14;71;1;1;5;7;7
"Britain";50;17;33;3;1;2;6;26
"Donald Trump";50;0;50;3;0;3;6;25
"EPA";33;33;33;2;2;2;6;10
"Instagram";17;67;17;1;4;1;6;8
"Conservative";60;20;20;3;1;1;5;8
"BBC Mundo";20;80;0;1;4;0;5;7
"president";40;60;0;2;3;0;5;5
"France";0;20;80;0;1;4;5;5
"Prime Minister";40;40;20;2;2;1;5;5
"Labour";25;50;25;1;2;1;4;20
"Theresa May";75;25;0;3;1;0;4;16
"Ireland";25;75;0;1;3;0;4;13
"Google";50;0;50;2;0;2;4;12
"Japan";25;25;50;1;1;2;4;12
"Getty Images Image";50;25;25;2;1;1;4;10
"Ghana";25;0;75;1;0;3;4;10
"Canada";50;25;25;2;1;1;4;10
"Tuesday";50;25;25;2;1;1;4;9
"England";50;0;50;2;0;2;4;8
"Islamic State";50;0;50;2;0;2;4;6
"Grenfell";50;25;25;2;1;1;4;5
"European Union";50;25;25;2;1;1;4;5
"professor";25;25;50;1;1;2;4;4
"PM";75;0;25;3;0;1;4;4
"Pakistan";0;0;100;0;0;4;4;4
"German";0;25;75;0;1;3;4;4
"Italy";25;25;50;1;1;2;4;4
"commanders";100;0;0;4;0;0;4;4
"English";0;67;33;0;2;1;3;17
"Parliament";0;67;33;0;2;1;3;14
"Irish";0;33;67;0;1;2;3;10
"House of Fraser";33;67;0;1;2;0;3;9
"Poundworld";100;0;0;3;0;0;3;9
"Scotland";67;33;0;2;1;0;3;7
"Republic of Ireland";33;33;33;1;1;1;3;7
