"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count"
"Twitter";11;32;57;22;64;113;199;252
"Donald Trump";31;32;36;56;58;65;179;1042
"AFP";23;27;50;26;31;56;113;152
"Getty Images";25;29;46;27;32;51;110;149
"Facebook";12;47;42;12;48;43;103;229
"American";37;35;28;37;35;28;100;227
"United States";41;35;24;40;34;24;98;310
"Thursday";28;35;37;27;33;35;95;141
"White House";38;32;30;30;25;24;79;161
"Breitbart News";18;28;54;14;22;42;78;153
"AP";20;36;45;15;27;34;76;96
"U.S.";39;29;32;29;22;24;75;193
"America";33;39;28;23;27;19;69;126
"Americans";40;28;31;27;19;21;67;162
"Trump";27;24;49;17;15;31;63;152
"Getty";31;33;36;18;19;21;58;59
"Congress";32;36;32;16;18;16;50;81
"Democrats";40;34;26;19;16;12;47;116
"Associated Press";30;35;35;14;16;16;46;73
"Breitbart";22;15;63;10;7;29;46;99
"Barack Obama";29;40;31;13;18;14;45;173
"Washington";29;24;47;11;9;18;38;47
"Prime Minister";25;31;44;9;11;16;36;36
"California";27;24;48;9;8;16;33;81
"Hillary Clinton";36;39;24;12;13;8;33;92
"Attorney General";6;30;64;2;10;21;33;33
"Washington, D.C.";16;56;28;5;18;9;32;51
"Republicans";34;38;28;11;12;9;32;123
"Europe";35;26;39;11;8;12;31;63
"Senate";26;26;48;8;8;15;31;74
"Muslim";27;30;43;8;9;13;30;57
"CNN";23;23;53;7;7;16;30;110
"President Obama";30;13;57;9;4;17;30;255
"Speaker";14;34;52;4;10;15;29;29
"Senator";18;39;43;5;11;12;28;28
"Germany";37;15;48;10;4;13;27;69
"Fox News";52;22;26;14;6;7;27;39
"Chinese";33;44;22;9;12;6;27;74
"FBI";58;35;8;15;9;2;26;54
"Russia";23;27;50;6;7;13;26;68
"China";38;8;54;10;2;14;26;132
"governor";31;27;42;8;7;11;26;26
"Iraq";48;20;32;12;5;8;25;43
"German";33;21;46;8;5;11;24;53
"chief";8;25;67;2;6;16;24;24
"New York Times";17;63;21;4;15;5;24;28
"CEO";21;42;38;5;10;9;24;24
"Vice President";8;63;29;2;15;7;24;24
"Republican";25;50;25;6;12;6;24;45
"European Union";30;30;39;7;7;9;23;32
"Saturday";13;61;26;3;14;6;23;31
"November";39;17;43;9;4;10;23;36
"Russian";52;17;30;12;4;7;23;65
"Chancellor";35;26;39;8;6;9;23;23
"Jerusalem";17;26;57;4;6;13;23;47
"EU";32;36;32;7;8;7;22;91
"April";18;32;50;4;7;11;22;24
"Syria";32;9;59;7;2;13;22;61
"North Korea";36;23;41;8;5;9;22;79
"Dr.";36;27;36;8;6;8;22;22
"09-Jun-18";18;32;50;4;7;11;22;23
"January";38;19;43;8;4;9;21;24
"Mayor";24;14;62;5;3;13;21;21
"Democratic";43;33;24;9;7;5;21;54
"British";24;19;57;5;4;12;21;36
"Mrs.";24;76;0;5;16;0;21;21
"New York";15;45;40;3;9;8;20;26
"Secretary of State";20;35;45;4;7;9;20;20
"Monday";30;20;50;6;4;10;20;24
"Breitbart London";35;5;60;7;1;12;20;32
"December";35;15;50;7;3;10;20;22
"Texas";30;10;60;6;2;12;20;83
"Canada";30;35;35;6;7;7;20;42
"Obama administration";30;40;30;6;8;6;20;27
"Secretary";26;37;37;5;7;7;19;19
"chairman";5;26;68;1;5;13;19;19
"Islamic";47;16;37;9;3;7;19;48
