"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total_articles";"Count"
"CNN";38;35;27;116;106;82;304;791
"Facebook Messenger";0;0;100;0;0;148;148;148
"Donald Trump";27;43;31;38;61;44;143;1165
"President-elect";18;76;6;20;86;7;113;113
"Washington";26;46;28;24;42;26;92;150
"United States";45;27;28;33;20;21;74;331
"American";36;27;36;27;20;27;74;141
"New York";20;26;54;14;18;38;70;86
"Twitter";21;39;39;14;26;26;66;136
"White House";33;50;17;19;29;10;58;198
"US";43;21;36;20;10;17;47;138
"Prime Minister";18;42;40;8;19;18;45;45
"Congress";43;32;25;19;14;11;44;80
"CNNMoney";14;33;52;6;14;22;42;49
"China";39;32;29;16;13;12;41;168
"Facebook";10;51;39;4;21;16;41;86
"America";45;38;18;18;15;7;40;66
"director";18;35;48;7;14;19;40;40
"Americans";45;34;21;17;13;8;38;61
"Senate";32;38;30;12;14;11;37;82
"Republicans";51;37;11;18;13;4;35;126
"Republican";29;38;32;10;13;11;34;44
"Trump";39;30;30;13;10;10;33;217
"Democrats";33;36;30;11;12;10;33;102
"Barack Obama";20;50;30;6;15;9;30;141
"Estados Unidos";17;31;52;5;9;15;29;85
"Russia";31;41;28;9;12;8;29;51
"Chinese";32;39;29;9;11;8;28;87
"Democratic";30;44;26;8;12;7;27;41
"U.S.";38;27;35;10;7;9;26;75
"North Korea";32;40;28;8;10;7;25;96
"April";40;24;36;10;6;9;25;30
"November";46;42;13;11;10;3;24;35
"two years";46;21;33;11;5;8;24;25
"judge";50;8;42;12;2;10;24;24
"Kim Jong Un";22;57;22;5;13;5;23;168
"Mexico";48;26;26;11;6;6;23;46
"London";26;22;52;6;5;12;23;41
"Russian";18;45;36;4;10;8;22;51
"Hillary Clinton";36;50;14;8;11;3;22;35
"FBI";45;30;25;9;6;5;20;91
"North Korean";10;75;15;2;15;3;20;53
"British";45;20;35;9;4;7;20;28
"Monday";45;20;35;9;4;7;20;24
"attorney general";30;20;50;6;4;10;20;20
"chief";25;25;50;5;5;10;20;20
"governor";35;30;35;7;6;7;20;20
"Vice President";15;40;45;3;8;9;20;20
"Cabinet";11;79;11;2;15;2;19;42
"Europe";37;42;21;7;8;4;19;29
"Attorney General";37;32;32;7;6;6;19;19
"Secretary of State";26;42;32;5;8;6;19;19
"California";22;39;39;4;7;7;18;41
"Florida";28;22;50;5;4;9;18;27
