"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"NATO";26;36;38;20;28;30;78;163;"LOCATION"
"Russia";22;19;59;16;14;44;74;115;"ORGANIZATION"
"Atlantic Ocean";15;35;50;9;22;31;62;92;"ORGANIZATION"
"Europe";24;33;43;11;15;20;46;80;"ORGANIZATION"
"BRUSSELS";40;24;36;10;6;9;25;116;"PERSON"
"Brussels";42;38;21;10;9;5;24;47;"ORGANIZATION"
"Mediterranean Sea";38;38;25;6;6;4;16;19;"LOCATION"
"Iraq";50;13;38;8;2;6;16;50;"LOCATION"
"Abdul-Sattar Bayrkdar";25;56;19;4;9;3;16;54;"PERSON"
"BAGHDAD";40;27;33;6;4;5;15;24;"ORGANIZATION"
"Independent Elections Commission";21;57;21;3;8;3;14;53;"LOCATION"
"Supreme Judicial Council";14;50;36;2;7;5;14;20;"LOCATION"
"parliament";36;36;29;5;5;4;14;82;"ORGANIZATION"
"Kai Hansen";38;38;23;5;5;3;13;16;"LOCATION"
"Pippa";69;23;8;9;3;1;13;47;"ORGANIZATION"
"Australia";23;31;46;3;4;6;13;30;"LOCATION"
"Florida";8;69;23;1;9;3;13;26;"ORGANIZATION"
"Adelaide River";50;50;0;6;6;0;12;15;"LOCATION"
"ABC Radio";67;8;25;8;1;3;12;28;"ORGANIZATION"
"Goat Island Lodge";42;8;50;5;1;6;12;36;"ORGANIZATION"
"ABC Darwin";25;25;50;3;3;6;12;54;"ORGANIZATION"
"Telegraph";18;55;27;2;6;3;11;32;"LOCATION"
"Lo";27;27;45;3;3;5;11;37;"ORGANIZATION"
"Malcolm Douglas";22;44;33;2;4;3;9;15;"ORGANIZATION"
"Broome";22;33;44;2;3;4;9;25;"LOCATION"
"Santa";78;0;22;7;0;2;9;25;"ORGANIZATION"
"Thanos";33;44;22;3;4;2;9;28;"ORGANIZATION"
"Louise A. Hitchcock";11;67;22;1;6;2;9;25;"ORGANIZATION"
"Benjamin Brown";38;13;50;3;1;4;8;58;"LOCATION"
"Fox News";38;63;0;3;5;0;8;22;"PERSON"
"Twitter";50;25;25;4;2;2;8;12;"LOCATION"
"GAZA CITY";50;50;0;4;4;0;8;25;"LOCATION"
"Samia Hassan";13;25;63;1;2;5;8;14;"ORGANIZATION"
"Hamas";50;38;13;4;3;1;8;10;"LOCATION"
"Associated Press";0;13;88;0;1;7;8;8;"PERSON"
"Gaza Strip";38;38;25;3;3;2;8;29;"LOCATION"
"U.S.";63;25;13;5;2;1;8;11;"LOCATION"
"Israel";71;29;0;5;2;0;7;13;"LOCATION"
"Egypt";0;71;29;0;5;2;7;8;"ORGANIZATION"
"Jeff Sessions";57;0;43;4;0;3;7;9;"LOCATION"
"Dana Sabraw";57;14;29;4;1;2;7;10;"ORGANIZATION"
"American Civil Liberties Union";43;14;43;3;1;3;7;46;"PERSON"
"Donald J. Trump";14;71;14;1;5;1;7;29;"PERSON"
"Bloomberg";71;29;0;5;2;0;7;8;"ORGANIZATION"
"Democrats";43;14;43;3;1;3;7;10;"ORGANIZATION"
"Homeland Security";43;0;57;3;0;4;7;14;"ORGANIZATION"
"CBP Acting";43;0;57;3;0;4;7;11;"LOCATION"
"Ronald Vitello";43;14;43;3;1;3;7;7;"LOCATION"
"U.S. Southern";29;29;43;2;2;3;7;8;"LOCATION"
"District of California";71;0;29;5;0;2;7;8;"PERSON"
"George W. Bush";29;14;57;2;1;4;7;15;"LOCATION"
"Wall.";14;43;43;1;3;3;7;59;"ORGANIZATION"
"San Diego, Calif.";67;0;33;4;0;2;6;14;"LOCATION"
"Wall";67;33;0;4;2;0;6;9;"ORGANIZATION"
"America";50;50;0;3;3;0;6;22;"ORGANIZATION"
"Hugh Hewitt";50;33;17;3;2;1;6;13;"PERSON"
"Lee Gelernt";33;50;17;2;3;1;6;14;"LOCATION"
"Hewitt";17;50;33;1;3;2;6;13;"PERSON"
"Health and Human Services";0;50;50;0;3;3;6;12;"PERSON"
"Amy Lieu";67;17;17;4;1;1;6;65;"PERSON"
"China";50;33;17;3;2;1;6;12;"PERSON"
"Mark A. Lenzi";67;0;33;4;0;2;6;7;"LOCATION"
"GUANGZHOU, China";33;33;33;2;2;2;6;9;"LOCATION"
"Cuba";33;0;67;2;0;4;6;12;"LOCATION"
"Linda Chen";60;40;0;3;2;0;5;18;"LOCATION"
"Heather Nauert";40;20;40;2;1;2;5;11;"LOCATION"
"Hua Chunying";40;40;20;2;2;1;5;6;"PERSON"
"Beijing";40;20;40;2;1;2;5;8;"PERSON"
"Canton Place";40;20;40;2;1;2;5;5;"ORGANIZATION"
"Aled Williams";40;40;20;2;2;1;5;37;"PERSON"
"Canada";60;20;20;3;1;1;5;26;"PERSON"
"KELVIN CHAN";60;40;0;3;2;0;5;18;"ORGANIZATION"
"Garrett Tenney";60;20;20;3;1;1;5;7;"ORGANIZATION"
"State Department";60;40;0;3;2;0;5;25;"ORGANIZATION"
"State Department spokeswoman";20;80;0;1;4;0;5;21;"PERSON"
"U.S. government";20;60;20;1;3;1;5;16;"PERSON"
"Chinese Foreign Ministry";100;0;0;5;0;0;5;17;"LOCATION"
"The New York Times";0;60;40;0;3;2;5;15;"PERSON"
"Times";0;40;60;0;2;3;5;5;"PERSON"
"University of Pennsylvania";60;40;0;3;2;0;5;5;"LOCATION"
"U.S. Embassy in Havana";40;40;20;2;2;1;5;10;"LOCATION"
"Penn";20;40;40;1;2;2;5;14;"LOCATION"
"Senate Foreign Relations Committee";20;40;40;1;2;2;5;5;"LOCATION"
"Mike Pompeo";20;80;0;1;4;0;5;5;"LOCATION"
"Washington";60;20;20;3;1;1;5;16;"PERSON"
"Josh Lederman";20;0;80;1;0;4;5;18;"PERSON"
"Washington, D.C.";0;60;40;0;3;2;5;11;"LOCATION"
"Bill Clinton";20;40;40;1;2;2;5;11;"LOCATION"
"Craig Melvin";20;60;20;1;3;1;5;44;"PERSON"
"Monica Lewinsky";0;20;80;0;1;4;5;9;"PERSON"
"Howard Kurtz";0;80;20;0;4;1;5;5;"PERSON"
"Stephen Colbert";75;0;25;3;0;1;4;21;"PERSON"
"Donald Trump";50;50;0;2;2;0;4;39;"PERSON"
"NBC";100;0;0;4;0;0;4;14;"LOCATION"
"White House";100;0;0;4;0;0;4;7;"ORGANIZATION"
"Peter Jennings";50;25;25;2;1;1;4;6;"PERSON"
"Harvey Weinstein";25;25;50;1;1;2;4;5;"LOCATION"
"Paula Jones";25;0;75;1;0;3;4;4;"LOCATION"
"Gennifer Flowers";50;25;25;2;1;1;4;4;"ORGANIZATION"
"Kathleen Willey";50;0;50;2;0;2;4;10;"ORGANIZATION"
"Republicans";50;50;0;2;2;0;4;27;"PERSON"
"Savannah Guthrie";50;50;0;2;2;0;4;13;"PERSON"
