"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"The New York Times";20;40;41;20;40;41;101;282;"ORGANIZATION"
"New York";31;22;47;29;20;44;93;133;"LOCATION"
"Twitter";6;24;69;4;15;43;62;77;"ORGANIZATION"
"United States";37;27;37;18;13;18;49;158;"LOCATION"
"Facebook";14;29;57;5;10;20;35;51;"ORGANIZATION"
"Getty Images";21;31;48;6;9;14;29;38;"ORGANIZATION"
"Mr. Trump";30;37;33;8;10;9;27;262;"PERSON"
"Associated Press";17;29;54;4;7;13;24;25;"ORGANIZATION"
"China";24;14;62;5;3;13;21;108;"LOCATION"
"Brooklyn";5;38;57;1;8;12;21;49;"LOCATION"
"Congress";33;24;43;7;5;9;21;36;"ORGANIZATION"
"White House";28;28;44;5;5;8;18;34;"ORGANIZATION"
"The Times";17;50;33;3;9;6;18;33;"ORGANIZATION"
"Washington";33;33;33;6;6;6;18;26;"LOCATION"
"Manhattan";18;24;59;3;4;10;17;28;"LOCATION"
"Russia";33;33;33;5;5;5;15;36;"LOCATION"
"Mexico";27;20;53;4;3;8;15;32;"LOCATION"
"Trump";47;13;40;7;2;6;15;30;"ORGANIZATION"
"America";40;33;27;6;5;4;15;28;"LOCATION"
"Canada";50;29;21;7;4;3;14;36;"LOCATION"
"House";7;43;50;1;6;7;14;32;"ORGANIZATION"
"Europe";36;43;21;5;6;3;14;28;"LOCATION"
"London";7;36;57;1;5;8;14;25;"LOCATION"
"United Nations";64;14;21;9;2;3;14;21;"ORGANIZATION"
"North Korea";38;31;31;5;4;4;13;56;"LOCATION"
"New York City";46;46;8;6;6;1;13;47;"LOCATION"
"Democrats";23;38;38;3;5;5;13;37;"ORGANIZATION"
"California";8;54;38;1;7;5;13;34;"LOCATION"
"France";38;23;38;5;3;5;13;27;"LOCATION"
"Republicans";0;42;58;0;5;7;12;60;"ORGANIZATION"
"WASHINGTON";8;33;58;1;4;7;12;21;"LOCATION"
"Republican";45;36;18;5;4;2;11;16;"ORGANIZATION"
"Senate";27;27;45;3;3;5;11;16;"ORGANIZATION"
"Japan";0;36;64;0;4;7;11;15;"LOCATION"
"Kim Jong-un";30;0;70;3;0;7;10;79;"PERSON"
"U.S.";60;0;40;6;0;4;10;25;"LOCATION"
"Paris";20;50;30;2;5;3;10;22;"LOCATION"
"Britain";50;30;20;5;3;2;10;16;"LOCATION"
