"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"Reuters";36;28;36;59;45;58;162;438;"ORGANIZATION"
"Min Read";30;24;46;37;29;57;123;128;"PERSON"
"U.S.";34;30;36;16;14;17;47;100;"LOCATION"
"United States";37;14;49;13;5;17;35;133;"LOCATION"
"Donald Trump";39;21;39;11;6;11;28;96;"PERSON"
"China";15;27;58;4;7;15;26;92;"LOCATION"
"Washington";30;25;45;6;5;9;20;26;"LOCATION"
"Russia";32;5;63;6;1;12;19;53;"LOCATION"
"LONDON";11;11;78;2;2;14;18;38;"LOCATION"
"Britain";61;6;33;11;1;6;18;49;"LOCATION"
"ロイター";0;29;71;0;5;12;17;36;"ORGANIZATION"
"European Union";40;7;53;6;1;8;15;21;"LOCATION"
"Europe";57;14;29;8;2;4;14;34;"LOCATION"
"Iran";36;14;50;5;2;7;14;36;"LOCATION"
"London";14;14;71;2;2;10;14;33;"LOCATION"
"WASHINGTON";15;31;54;2;4;7;13;23;"LOCATION"
"東京";15;8;77;2;1;10;13;16;"LOCATION"
"France";17;25;58;2;3;7;12;14;"LOCATION"
"Twitter";42;8;50;5;1;6;12;13;"ORGANIZATION"
"Leslie Adler";0;8;92;0;1;11;12;12;"PERSON"
"Canada";25;25;50;3;3;6;12;26;"LOCATION"
"North Korea";27;9;64;3;1;7;11;37;"LOCATION"
"New York";18;45;36;2;5;4;11;12;"LOCATION"
"Beijing";0;45;55;0;5;6;11;26;"LOCATION"
"Bengaluru";0;55;45;0;6;5;11;11;"LOCATION"
"European Central Bank";70;10;20;7;1;2;10;40;"ORGANIZATION"
"Asia";20;20;60;2;2;6;10;14;"LOCATION"
"EU";50;20;30;5;2;3;10;52;"LOCATION"
"NEW YORK";30;50;20;3;5;2;10;18;"LOCATION"
"Brent";80;0;20;8;0;2;10;16;"LOCATION"
"Mexico";44;0;56;4;0;5;9;12;"LOCATION"
"White House";67;33;0;6;3;0;9;22;"ORGANIZATION"
"Venezuela";56;0;44;5;0;4;9;34;"LOCATION"
"米国";22;22;56;2;2;5;9;26;"LOCATION"
"米";11;0;89;1;0;8;9;18;"LOCATION"
"Islamic State";63;0;38;5;0;3;8;38;"ORGANIZATION"
"United Nations";38;13;50;3;1;4;8;23;"ORGANIZATION"
"OPEC";13;13;75;1;1;6;8;9;"ORGANIZATION"
"México";13;38;50;1;3;4;8;38;"LOCATION"
"Italy";43;14;43;3;1;3;7;24;"LOCATION"
"NATO";57;14;29;4;1;2;7;11;"ORGANIZATION"
"REUTERS";14;29;57;1;2;4;7;79;"ORGANIZATION"
"John Stonestreet";0;0;100;0;0;7;7;7;"PERSON"
"India";14;14;71;1;1;5;7;9;"LOCATION"
"Mike Pompeo";43;0;57;3;0;4;7;33;"PERSON"
"Iraq";14;29;57;1;2;4;7;38;"LOCATION"
"CIUDAD DE MÉXICO";0;86;14;0;6;1;7;9;"LOCATION"
"Germany";33;0;67;2;0;4;6;9;"LOCATION"
"Africa";67;0;33;4;0;2;6;11;"LOCATION"
"Brussels";0;33;67;0;2;4;6;14;"LOCATION"
"Carlos Aliaga";17;0;83;1;0;5;6;6;"PERSON"
"South Africa";17;0;83;1;0;5;6;13;"LOCATION"
"Japan";50;0;50;3;0;3;6;12;"LOCATION"
"Boston";0;17;83;0;1;5;6;6;"LOCATION"
"Singapore";0;0;100;0;0;6;6;11;"LOCATION"
"Thomson Reuters";0;67;33;0;4;2;6;6;"ORGANIZATION"
"Republican";33;17;50;2;1;3;6;19;"ORGANIZATION"
"Philippines";17;50;33;1;3;2;6;10;"LOCATION"
"Chevron Corp";17;17;67;1;1;4;6;12;"ORGANIZATION"
"EUR";0;0;100;0;0;6;6;6;"LOCATION"
"日本";0;17;83;0;1;5;6;14;"LOCATION"
"mexicano";0;0;100;0;0;6;6;9;"LOCATION"
"Wall Street";0;0;100;0;0;5;5;5;"LOCATION"
"Peter Praet";0;0;100;0;0;5;5;8;"PERSON"
"Nasdaq";0;20;80;0;1;4;5;5;"ORGANIZATION"
"Gareth Jones";0;0;100;0;0;5;5;5;"PERSON"
"State Department";0;40;60;0;2;3;5;5;"ORGANIZATION"
"Moscow";0;20;80;0;1;4;5;5;"LOCATION"
"Estados Unidos";0;60;40;0;3;2;5;19;"LOCATION"
"Ireland";100;0;0;5;0;0;5;9;"LOCATION"
"Estelle Shirbon";0;0;100;0;0;5;5;5;"PERSON"
"JOHANNESBURG";0;0;100;0;0;5;5;6;"LOCATION"
"Congress";40;60;0;2;3;0;5;20;"ORGANIZATION"
"Senate";40;60;0;2;3;0;5;7;"ORGANIZATION"
"U.S. Congress";60;40;0;3;2;0;5;5;"ORGANIZATION"
"North America";60;20;20;3;1;1;5;7;"LOCATION"
"Marguerita Choy";0;0;100;0;0;5;5;5;"PERSON"
"Matthew Lewis";0;40;60;0;2;3;5;5;"PERSON"
"Trump";0;40;60;0;2;3;5;9;"ORGANIZATION"
"PDVSA";100;0;0;5;0;0;5;48;"ORGANIZATION"
"MOSCOW";0;0;100;0;0;5;5;20;"LOCATION"
"Taiwan";40;0;60;2;0;3;5;40;"LOCATION"
"Australia";40;20;40;2;1;2;5;10;"LOCATION"
"MSCI";80;0;20;4;0;1;5;5;"ORGANIZATION"
"cabinet";80;0;20;4;0;1;5;6;"ORGANIZATION"
"中国";20;0;80;1;0;4;5;18;"LOCATION"
"欧州";0;20;80;0;1;4;5;7;"LOCATION"
"Syria";20;0;80;1;0;4;5;7;"LOCATION"
"Andrew Roche";0;0;100;0;0;5;5;5;"PERSON"
"Ahmed Aboulenein";0;80;20;0;4;1;5;6;"PERSON"
"G7";60;0;40;3;0;2;5;12;"ORGANIZATION"
"Helen Reid";0;0;100;0;0;5;5;7;"PERSON"
"parliament";40;0;60;2;0;3;5;13;"ORGANIZATION"
"HK";0;25;75;0;1;3;4;4;"LOCATION"
"Afghanistan";25;75;0;1;3;0;4;19;"LOCATION"
"Polina Devitt";0;25;75;0;1;3;4;4;"PERSON"
"Clarence Fernandez";0;0;100;0;0;4;4;4;"PERSON"
"David Davis";75;0;25;3;0;1;4;22;"PERSON"
"Theresa May";0;50;50;0;2;2;4;6;"PERSON"
"Hugh Lawson";0;50;50;0;2;2;4;4;"PERSON"
"FTSE 100";50;0;50;2;0;2;4;6;"ORGANIZATION"
"West";50;25;25;2;1;1;4;12;"LOCATION"
