Serial	user_id	user_screen_name	user_name	user_expanded_url	Facebook Page (https://www.facebook.com/)	RSS Feed link	Automatic RSS	Wikipedia page (https://en.wikipedia.org/wiki/)	Alexa page (https://www.alexa.com/siteinfo/)	user_display_url	user_verified	newssource	newssource:confidence	user_created_at	user_description	user_followers_count	user_favourites_count	user_friends_count	user_geo_enabled	user_lang	user_listed_count	user_location	country	country_code	Category	user_profile_image_url	user_statuses_count	user_time_zone	user_url	YouTube (http://www.youtube.com/)	GooglePlus (https://plus.google.com/+)	Instagram (https://www.instagram.com/)
1	807095	nytimes	The New York Times	https://www.nytimes.com/	nytimes	https://rss.art19.com/the-daily	https://rss.art19.com/the-daily	https://en.wikipedia.org/wiki/The_New_York_Times	https://www.alexa.com/siteinfo/nytimes.com	nytimes.com	1			Fri Mar 02 20:41:42 +0000 2007	Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more. Visit https://t.co/ghL9OoYKMM to share news tips.	42196093	17069	886	1	en	195305	New York City	United States of America	US	General	http://pbs.twimg.com/profile_images/942784892882112513/qV4xB0I3_normal.jpg	323234	None	http://t.co/ahvuWqicF9	user/TheNewYorkTimes		
2	742143	BBCWorld	BBC News (World)	http://www.bbc.com/news	bbcnews			https://en.wikipedia.org/wiki/BBC_Online	https://www.alexa.com/siteinfo/bbc.com	bbc.com/news	1			Thu Feb 01 07:44:29 +0000 2007	News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport	23538713	9	85	0	en	109098	London, UK	United Kingdom	GB	General	http://pbs.twimg.com/profile_images/875702138680246273/BfQLzf7G_normal.jpg	279584	None	https://t.co/7NEgoMwJy3	user/bbcnews		bbcnews
3	5988062	TheEconomist	The Economist	http://www.economist.com/	TheEconomist	https://www.economist.com/rss	https://www.economist.com/rss	https://en.wikipedia.org/wiki/The_Economist	https://www.alexa.com/siteinfo/economist.com	economist.com	1			Sat May 12 13:04:50 +0000 2007	News and analysis with a global perspective. Subscribe here: https://t.co/owztJzwlmm	23445273	306	158	0	en	111124	London	United Kingdom	GB	General	http://pbs.twimg.com/profile_images/879361767914262528/HdRauDM-_normal.jpg	143221	None	https://t.co/pN0OAmG4SP	user/economistmagazine	100470681032489535736/posts	theeconomist
4	1652541	reuters	Reuters Top News	http://www.reuters.com/	Reuters	www.reuters.com/tools/rss	//www.reuters.com/tools/rss	https://en.wikipedia.org/wiki/Reuters	https://www.alexa.com/siteinfo/reuters.com	reuters.com	1			Tue Mar 20 17:46:05 +0000 2007	Top and breaking news, pictures, and videos from Reuters.	19799488	803	1072	0	en	114653	Around the world	United States of America	US	General	http://pbs.twimg.com/profile_images/877554927932891136/ZBEs235N_normal.jpg	285186	None	http://t.co/BmHxhkm3Mh	//user/ReutersVideo		reuters
5	1367531	foxnews	Fox News	http://www.foxnews.com/	FoxNews	//www.foxnews.com/rss/index.html	//www.foxnews.com/rss/index.html	https://en.wikipedia.org/wiki/Fox_News	https://www.alexa.com/siteinfo/foxnews.com	foxnews.com	1			Sat Mar 17 19:01:26 +0000 2007	America’s Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.	17926625	0	408	0	en	63309	U.S.A.	United States of America	US	General	http://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_normal.jpg	388887	None	http://t.co/ZYG58XZtAC	user/FoxNewsChannel		foxnews
6	3108351	wsj	The Wall Street Journal	http://www.wsj.com/	wsj	http://www.wsj.com/public/page/rss_news_and_feeds.html	http://www.wsj.com/public/page/rss_news_and_feeds.html	https://en.wikipedia.org/wiki/The_Wall_Street_Journal	https://www.alexa.com/siteinfo/wsj.com	wsj.com	1			Sun Apr 01 06:22:13 +0000 2007	Breaking news and features from the WSJ.	15898601	1276	1112	1	en	109431	New York, NY	United States of America	US	General	http://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_normal.jpg	245824	None	https://t.co/GhhR6PLfem	user/WSJDigitalNetwork	117720626238470886461/posts	
7	14293310	time	TIME	http://time.com/	time	http://content.time.com/time/rss	http://content.time.com/time/rss	https://en.wikipedia.org/wiki/Time_(magazine)	https://www.alexa.com/siteinfo/time.com	time.com	1			Thu Apr 03 13:54:30 +0000 2008	Breaking news and current events from around the globe. Hosted by TIME staff.	15632567	570	845	1	en	101123		United States of America	US	General	http://pbs.twimg.com/profile_images/1700796190/Picture_24_normal.png	286966	None	http://t.co/4aYbUuAeSh	user/TimeMagazine		time
8	91478624	Forbes	Forbes	http://www.forbes.com/	forbes			https://en.wikipedia.org/wiki/Forbes	https://www.alexa.com/siteinfo/forbes.com	forbes.com	1			Sat Nov 21 02:09:57 +0000 2009	Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.	14893667	8914	5714	1	en	55127	New York, NY	United States of America	US	Economy	http://pbs.twimg.com/profile_images/882603270484766720/YFx4Lsh4_normal.jpg	184550	None	http://t.co/KH6EtekF5q	user/forbes		
9	28785486	abc	ABC News	http://abcnews.go.com/	abcnews			https://en.wikipedia.org/wiki/ABC_News	https://www.alexa.com/siteinfo/abcnews.go.com	abcnews.com	1			Sat Apr 04 12:40:32 +0000 2009	All the news and information you need to see, curated by the @ABC News team. Instagram: https://t.co/pPlGmNHztz	14052956	54	577	1	en	52915	New York City / Worldwide	United States of America	US	General	http://pbs.twimg.com/profile_images/877547979363758080/ny06RNTT_normal.jpg	210958	None	https://t.co/7mnR2AtpOn	user/ABCNews	ABCNews	
10	2467791	washingtonpost	Washington Post	https://www.washingtonpost.com/	washingtonpost	http://www.washingtonpost.com/rss	http://www.washingtonpost.com/rss	https://en.wikipedia.org/wiki/The_Washington_Post	https://www.alexa.com/siteinfo/washingtonpost.com	washingtonpost.com	1			Tue Mar 27 11:19:39 +0000 2007	Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8	12634359	4487	1482	1	en	85438	Washington, DC	United States of America	US	General	http://pbs.twimg.com/profile_images/875440182501277696/n-Ic9nBO_normal.jpg	273023	None	http://t.co/Hq7hTYkOPg	user/WashingtonPost		
11	14511951	HuffPost	HuffPost	http://www.huffingtonpost.com/	HuffPost			https://en.wikipedia.org/wiki/HuffPost	https://www.alexa.com/siteinfo/huffingtonpost.com	huffingtonpost.com	1			Thu Apr 24 14:07:28 +0000 2008	Know what's real.	11600938	1240	5740	1	en	84746		United States of America	US	General	http://pbs.twimg.com/profile_images/875366648093577217/DPjc49xK_normal.jpg	506041	None	https://t.co/3OfNk6hcEA	user/HuffingtonPost		HuffPost
12	134758540	timesofindia	Times of India	http://timesofindia.indiatimes.com/	TimesofIndia	https://timesofindia.indiatimes.com/rss.cms	https://timesofindia.indiatimes.com/rss.cms	https://en.wikipedia.org/wiki/The_Times_of_India	https://www.alexa.com/siteinfo/indiatimes.com	timesofindia.com	1			Mon Apr 19 10:50:15 +0000 2010	News. Views. Analyses. Conversations. India’s No.1 digital news destination, world’s largest-selling English newspaper - A Times Internet Limited Product	11318429	236	513	0	en	10659	New Delhi	India	IN	General	http://pbs.twimg.com/profile_images/781514680732749824/PG2_gebm_normal.jpg	388064	None	https://t.co/JxQOlwNQ7E	user/TimesOfIndiaChannel	117150671992820587865?prsrc=3	
13	37034483	ndtv	NDTV	https://www.ndtv.com/	com/ndtv	https://www.ndtv.com/rss	https://www.ndtv.com/rss	https://en.wikipedia.org/wiki/NDTV	https://www.alexa.com/siteinfo/ndtv.com	ndtv.com	1			Fri May 01 20:34:48 +0000 2009	Breaking news alerts from India	10843770	0	19	1	en	11712	India	India	IN	General	http://pbs.twimg.com/profile_images/570440108424171520/QuGYd7jH_normal.png	481885	None	http://t.co/Z4M89fs6mB	user/ndtv	NDTV/posts?pfrom=home-footer2017	ndtv
14	14677919	newyorker	The New Yorker	http://www.newyorker.com/	newyorker			https://en.wikipedia.org/wiki/The_New_Yorker	https://www.alexa.com/siteinfo/newyorker.com	newyorker.com	1			Tue May 06 19:36:33 +0000 2008	The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.	8625046	1799	420	0	en	63182	New York, NY	United States of America	US	General	http://pbs.twimg.com/profile_images/900059590586486784/fmY_4l3f_normal.jpg	76342	None	https://t.co/RLTwD4Ft0i	user/NewYorkerDotCom		newyorkermag
15	25589776	people	People	http://people.com/politics/	peoplemag			https://en.wikipedia.org/wiki/People_(magazine)	https://www.alexa.com/siteinfo/people.com	people.com	1			Fri Mar 20 22:30:24 +0000 2009	https://t.co/4HzJYZw0O4 is the No. 1 site for celebrity news—and now you can subscribe to our Snapchat Discover channel! https://t.co/Fs10qvl9E9	7885417	5168	1757	1	en	33575		United States of America	US	General	http://pbs.twimg.com/profile_images/703345483218067456/waTSntUG_normal.jpg	213171	None	https://t.co/2JMO2KoE3y	user/people		people
